date,time,post_id,post_type,post_key,title,views,likes,replies,reposts,quotes,shares,fetched_at
2026-06-23,06:51,18093768938362174,A,A-1,仕入れ基準を公開,4,0,0,0,0,0,2026-06-24 15:19
2026-06-24,03:38,18102252932129417,C,C-1,セミナー案内（定番）,23,0,0,0,0,0,2026-06-25 15:25
2026-06-24,04:34,17898182871469796,A,A-2,リペアの価値,284,0,0,0,0,0,2026-06-25 15:25
2026-06-24,04:35,18140427265553396,B,B-2,よくある質問に答える,206,0,0,0,0,0,2026-06-25 15:25
2026-06-24,05:08,18103795339980512,A,A-3,フリマvs業者どちらで売る？,80,0,0,0,0,0,2026-06-25 15:25
2026-06-24,05:53,18458871451114020,B,B-3,1対1で教えている理由,63,0,0,0,0,0,2026-06-25 15:25
2026-06-24,06:43,18092868278167919,B,B-5,月利30万までの道のり,37,0,0,0,0,0,2026-06-25 15:25
2026-06-24,22:17,18173477494418089,A,A-4,ヌメ革交換という選択肢,697,0,0,0,0,0,2026-06-26 15:12
2026-06-25,06:44,17872181949627596,B,B-4,南大阪の方へ,104,0,0,0,0,0,2026-06-26 15:12
2026-06-25,14:33,18122594761740757,C,C-3,体験談型募集,15,0,0,0,0,0,2026-06-26 15:12
2026-06-25,22:21,18106484029818927,A,A-5,数字で見る仕組み,3,0,0,0,0,0,2026-06-27 14:14
2026-06-26,06:52,18128307421617451,B,B-1,なぜこのビジネスを始めたか,4,0,0,0,0,0,2026-06-27 14:14
2026-06-28,22:01,18077020802680170,A,A-6,月利30万フック型,2,0,0,0,0,0,2026-06-30 15:13
2026-06-29,07:26,17859301587662489,B,B-1,なぜこのビジネスを始めたか,116,0,0,0,0,0,2026-06-30 15:13
2026-06-29,15:46,18096908858029331,C,C-1,セミナー案内（定番）,6,0,0,0,0,0,2026-07-01 15:20
2026-06-29,22:07,18139376035498548,A,A-7,ビフォーアフター型①（リサイクルショップ比較）,14,0,0,0,0,0,2026-07-01 15:20
2026-06-30,06:53,18103318049034861,B,B-1,なぜこのビジネスを始めたか,8,0,0,0,0,0,2026-07-01 15:20
2026-06-30,14:18,18058863590735671,C,C-1,セミナー案内（定番）,9,0,0,0,0,0,2026-07-01 15:20
