date,time,post_id,post_type,post_key,title
2026-06-23,14:20,17956255821160902,B,B-1,なぜこのビジネスを始めたか
2026-06-23,06:51,18093768938362174,A,A-1,仕入れ基準を公開
2026-06-24,03:38,18102252932129417,C,C-1,セミナー案内（定番）
2026-06-24,04:34,17898182871469796,A,A-2,リペアの価値
2026-06-24,04:35,18140427265553396,B,B-2,よくある質問に答える
2026-06-24,05:08,18103795339980512,A,A-3,フリマvs業者どちらで売る？
2026-06-24,05:53,18458871451114020,B,B-3,1対1で教えている理由
2026-06-24,06:43,18092868278167919,B,B-5,月利30万までの道のり
2026-06-24,14:29,17933604426289578,C,C-2,限定感を出した募集
2026-06-24,22:17,18173477494418089,A,A-4,ヌメ革交換という選択肢
2026-06-25,06:44,17872181949627596,B,B-4,南大阪の方へ
2026-06-25,14:33,18122594761740757,C,C-3,体験談型募集
2026-06-25,22:21,18106484029818927,A,A-5,数字で見る仕組み
2026-06-26,06:52,18128307421617451,B,B-1,なぜこのビジネスを始めたか
2026-06-26,14:24,18139849270492742,C,C-4,有料セミナーの理由を説明
2026-06-28,22:01,18077020802680170,A,A-6,月利30万フック型
2026-06-29,07:26,17859301587662489,B,B-1,なぜこのビジネスを始めたか
2026-06-29,15:46,18096908858029331,C,C-1,セミナー案内（定番）
2026-06-29,22:07,18139376035498548,A,A-7,ビフォーアフター型①（リサイクルショップ比較）
2026-06-30,06:53,18103318049034861,B,B-1,なぜこのビジネスを始めたか
2026-06-30,14:18,18058863590735671,C,C-1,セミナー案内（定番）
2026-06-30,22:14,17927313039349059,A,A-8,ビフォーアフター型②（リペア業者比較）
2026-07-01,07:07,18223221496319600,B,B-1,なぜこのビジネスを始めたか
2026-07-01,14:35,18560333608066170,C,C-1,セミナー案内（定番）
2026-07-01,22:16,17934796668090577,A,A-1,仕入れ基準を公開
2026-07-02,06:37,18100543913181853,B,B-1,なぜこのビジネスを始めたか
2026-07-02,14:00,18086616143534967,C,C-1,セミナー案内（定番）
2026-07-03,14:03,18140404477547069,C,C-1,セミナー案内（定番）
2026-07-05,22:01,18109387069785807,A,A-1,仕入れ基準を公開
2026-07-06,07:07,18144272341521237,B,B-1,なぜこのビジネスを始めたか
2026-07-06,15:32,18458707093113578,C,C-1,セミナー案内（定番）
2026-07-06,22:13,18154501870489501,A,A-1,仕入れ基準を公開
2026-07-07,06:41,18134832415527498,B,B-1,なぜこのビジネスを始めたか
2026-07-07,14:32,17958348756148353,C,C-1,セミナー案内（定番）
2026-07-07,22:10,18020745311903153,A,A-1,仕入れ基準を公開
2026-07-08,05:46,18098603018247750,B,B-1,なぜこのビジネスを始めたか
2026-07-08,14:05,18106476827095921,C,C-1,セミナー案内（定番）
2026-07-08,22:04,18598979680047824,A,A-1,仕入れ基準を公開
2026-07-09,14:58,18129175615642205,C,C-1,セミナー案内（定番）
